Region,Product,Units_Sold,Revenue,Month,Year,Category_x,Category_y,Cost_Per_Unit,Disease,Cases,Profit,Profit_Margin,Revenue_per_Case
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Distemper,89.0,55968.18630980712,13.48,4664.77
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Parvovirus,59.0,55968.18630980712,13.48,7036.68
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Distemper,38.0,55968.18630980712,13.48,10925.37
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Distemper,62.0,55968.18630980712,13.48,6696.2
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Distemper,108.0,55968.18630980712,13.48,3844.11
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Tick Fever,23.0,55968.18630980712,13.48,18050.62
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Ringworm,112.0,55968.18630980712,13.48,3706.82
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Distemper,110.0,55968.18630980712,13.48,3774.22
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Parvovirus,58.0,55968.18630980712,13.48,7158.0
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Tick Fever,74.0,55968.18630980712,13.48,5610.33
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Distemper,81.0,55968.18630980712,13.48,5125.48
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Leptospirosis,61.0,55968.18630980712,13.48,6805.97
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Leptospirosis,32.0,55968.18630980712,13.48,12973.88
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Rabies,26.0,55968.18630980712,13.48,15967.85
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Distemper,46.0,55968.18630980712,13.48,9025.31
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Ringworm,92.0,55968.18630980712,13.48,4512.65
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Distemper,49.0,55968.18630980712,13.48,8472.74
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Leptospirosis,65.0,55968.18630980712,13.48,6387.14
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Rabies,69.0,55968.18630980712,13.48,6016.87
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Ringworm,106.0,55968.18630980712,13.48,3916.64
North,VetCare Plus,809,415164.1863098071,Apr,2024,Vaccine,Medicine,444,Tick Fever,92.0,55968.18630980712,13.48,4512.65
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Leptospirosis,105.0,20319.81249300114,12.09,1601.18
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Leptospirosis,40.0,20319.81249300114,12.09,4203.1
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Distemper,108.0,20319.81249300114,12.09,1556.7
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Ringworm,82.0,20319.81249300114,12.09,2050.29
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Leptospirosis,92.0,20319.81249300114,12.09,1827.43
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Ringworm,53.0,20319.81249300114,12.09,3172.15
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Leptospirosis,102.0,20319.81249300114,12.09,1648.27
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Distemper,30.0,20319.81249300114,12.09,5604.13
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Parvovirus,13.0,20319.81249300114,12.09,12932.6
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Parvovirus,6.0,20319.81249300114,12.09,28020.64
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Parvovirus,118.0,20319.81249300114,12.09,1424.78
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Ringworm,13.0,20319.81249300114,12.09,12932.6
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Ringworm,106.0,20319.81249300114,12.09,1586.07
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Distemper,31.0,20319.81249300114,12.09,5423.35
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Leptospirosis,45.0,20319.81249300114,12.09,3736.08
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Ringworm,114.0,20319.81249300114,12.09,1474.77
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Leptospirosis,91.0,20319.81249300114,12.09,1847.51
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Parvovirus,51.0,20319.81249300114,12.09,3296.55
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Rabies,88.0,20319.81249300114,12.09,1910.5
North,PetGuard,654,168123.81249300114,Jan,2024,Medicine,Supplement,226,Tick Fever,98.0,20319.81249300114,12.09,1715.55
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Parvovirus,101.0,77488.02461088775,21.86,3510.34
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Distemper,103.0,77488.02461088775,21.86,3442.17
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Rabies,24.0,77488.02461088775,21.86,14772.67
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Ringworm,64.0,77488.02461088775,21.86,5539.75
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Tick Fever,68.0,77488.02461088775,21.86,5213.88
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Tick Fever,60.0,77488.02461088775,21.86,5909.07
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Leptospirosis,8.0,77488.02461088775,21.86,44318.0
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Distemper,34.0,77488.02461088775,21.86,10427.77
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Leptospirosis,38.0,77488.02461088775,21.86,9330.11
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Distemper,23.0,77488.02461088775,21.86,15414.96
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Parvovirus,67.0,77488.02461088775,21.86,5291.7
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Ringworm,52.0,77488.02461088775,21.86,6818.15
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Rabies,75.0,77488.02461088775,21.86,4727.25
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Parvovirus,66.0,77488.02461088775,21.86,5371.88
South,VetCare Plus,624,354544.02461088775,Jul,2023,Vaccine,Medicine,444,Tick Fever,23.0,77488.02461088775,21.86,15414.96
East,VetCare Plus,827,444719.2088822908,Jul,2023,Supplement,Medicine,444,Ringworm,105.0,77531.20888229081,17.43,4235.42
East,VetCare Plus,827,444719.2088822908,Jul,2023,Supplement,Medicine,444,Tick Fever,25.0,77531.20888229081,17.43,17788.77
East,VetCare Plus,827,444719.2088822908,Jul,2023,Supplement,Medicine,444,Ringworm,111.0,77531.20888229081,17.43,4006.48
East,VetCare Plus,827,444719.2088822908,Jul,2023,Supplement,Medicine,444,Parvovirus,66.0,77531.20888229081,17.43,6738.17
East,VetCare Plus,827,444719.2088822908,Jul,2023,Supplement,Medicine,444,Ringworm,48.0,77531.20888229081,17.43,9264.98
East,VetCare Plus,827,444719.2088822908,Jul,2023,Supplement,Medicine,444,Rabies,103.0,77531.20888229081,17.43,4317.66
East,VetCare Plus,827,444719.2088822908,Jul,2023,Supplement,Medicine,444,Parvovirus,94.0,77531.20888229081,17.43,4731.06
East,VetCare Plus,827,444719.2088822908,Jul,2023,Supplement,Medicine,444,Tick Fever,50.0,77531.20888229081,17.43,8894.38
East,VetCare Plus,827,444719.2088822908,Jul,2023,Supplement,Medicine,444,Ringworm,55.0,77531.20888229081,17.43,8085.8
East,VetCare Plus,827,444719.2088822908,Jul,2023,Supplement,Medicine,444,Ringworm,29.0,77531.20888229081,17.43,15335.15
East,VetCare Plus,827,444719.2088822908,Jul,2023,Supplement,Medicine,444,Leptospirosis,55.0,77531.20888229081,17.43,8085.8
South,PawShield,154,66838.08231341075,Jul,2023,Medicine,Medicine,349,Parvovirus,101.0,13092.082313410749,19.59,661.76
South,PawShield,154,66838.08231341075,Jul,2023,Medicine,Medicine,349,Distemper,103.0,13092.082313410749,19.59,648.91
South,PawShield,154,66838.08231341075,Jul,2023,Medicine,Medicine,349,Rabies,24.0,13092.082313410749,19.59,2784.92
South,PawShield,154,66838.08231341075,Jul,2023,Medicine,Medicine,349,Ringworm,64.0,13092.082313410749,19.59,1044.35
South,PawShield,154,66838.08231341075,Jul,2023,Medicine,Medicine,349,Tick Fever,68.0,13092.082313410749,19.59,982.91
